Games,Sport,Event,TEST,Gender,Athlete(s),CountryCode,CountryName,Medal,Result,Unit,ResultInSeconds,POPULATION,GDP,,,
2008,Swimming,100m Backstroke Women,WOMEN,WOMEN,Margaret Hoelzer,USA,United States of America,Bronze,59.34,M:S:DD,59.34,303824.646,8944193.284,,,
2012,Athletics,110m Hurdles Men,MEN,MEN,Aries MERRITT,USA,United States of America,Gold,12.92,#:DD,12.92,303824.646,8944193.284,,,
2012,Athletics,110m Hurdles Men,MEN,MEN,Jason RICHARDSON,USA,United States of America,Silver,13.04,#:DD,13.04,303824.646,8944193.284,,,
2012,Athletics,110m Hurdles Men,MEN,MEN,Hansle PARCHMENT,JAM,Jamaica,Bronze,13.12,#:DD,13.12,2801.544,10497.6055,,,
2012,Athletics,1500m Men,MEN,MEN,Taoufik MAKHLOUFI,ALG,Algeria,Gold,03:34.1,M:SS:DD,214.08,33739.635,113759.5538,,,
2012,Athletics,1500m Men,MEN,MEN,Leonel MANZANO,USA,United States of America,Silver,03:34.8,M:SS:DD,214.79,303824.646,8944193.284,,,
2012,Athletics,1500m Men,MEN,MEN,Abdalaati IGUIDER,MAR,Morocco,Bronze,03:35.1,M:SS:DD,215.13,34272.968,105771.5865,,,
2004,Swimming,100m Backstroke Women,WOMEN,WOMEN,Laure Manaudou,FRA,France,Bronze,1:00.88,M:S:DD,60.88,125744.458,165677,,,
2000,Swimming,100m Backstroke Women,WOMEN,WOMEN,Nina Zhivanevskaya,ESP,Spain,Bronze,1:00.89,M:S:DD,60.89,59381.628,1263467.237,,,
1996,Swimming,100m Backstroke Women,WOMEN,WOMEN,Marianne Kriel,RSA,South Africa,Bronze,1:02.12,M:S:DD,62.12,81890.667,1426553.501,,,
2012,Athletics,200m Men,MEN,MEN,Usain BOLT,JAM,Jamaica,Gold,19.32,#:DD,19.32,2801.544,10497.6055,,,
2012,Athletics,200m Men,MEN,MEN,Yohan BLAKE,JAM,Jamaica,Silver,19.44,#:DD,19.44,2801.544,10497.6055,,,
2012,Athletics,200m Men,MEN,MEN,Warren WEIR,JAM,Jamaica,Bronze,19.84,#:DD,19.84,2801.544,10497.6055,,,
1992,Swimming,100m Backstroke Women,WOMEN,WOMEN,Lea Loveless,USA,United States of America,Bronze,1:01.43,M:S:DD,61.43,22797.027,63768.1955,,,
1988,Swimming,100m Backstroke Women,WOMEN,WOMEN,Cornelia Sirch,GDR,Germany,Bronze,1:01.57,M:S:DD,61.57,245021.414,5512845,,,
1984,Swimming,100m Backstroke Women,WOMEN,WOMEN,Jolanda de Rover,NED,Netherlands,Bronze,1:02.91,M:S:DD,62.91,236348.292,4755958,,,
2012,Athletics,20km Walk Men,MEN,MEN,Ding CHEN,CHN,China,Gold,1:18:46,H:MM:SS,4726.00,1326856.173,6564831.165,,,
2012,Athletics,20km Walk Men,MEN,MEN,Erick BARRONDO,GUA,Guatemala,Silver,1:18:57,H:MM:SS,4737.00,12851.647,49344.5808,,,
2012,Athletics,20km Walk Men,MEN,MEN,Zhen WANG,CHN,China,Bronze,1:19:25,H:MM:SS,4765.00,1326856.173,6564831.165,,,
1980,Swimming,100m Backstroke Women,WOMEN,WOMEN,Petra Riedel,GDR,Germany,Bronze,1:02.64,M:S:DD,62.64,78297.904,1105099,,,
1976,Swimming,100m Backstroke Women,WOMEN,WOMEN,Nancy Garapick,CAN,Canada,Bronze,1:03.71,M:S:DD,63.71,13915.5,188678,,,
1972,Swimming,100m Backstroke Women,WOMEN,WOMEN,Susan Atwood,USA,United States of America,Bronze,1:06.34,M:S:DD,66.34,209896,3346554,,,
2012,Athletics,3000m Steeplechase Men,MEN,MEN,Ezekiel KEMBOI,KEN,Kenya,Gold,08:18.6,M:SS:DD,498.56,36529.155,36745.5655,,,
2012,Athletics,3000m Steeplechase Men,MEN,MEN,Mahiedine MEKHISSI-BENABBAD,FRA,France,Silver,08:19.1,M:SS:DD,499.08,61279.972,1395721.096,,,
2012,Athletics,3000m Steeplechase Men,MEN,MEN,Abel Kiprop MUTAI,KEN,Kenya,Bronze,08:19.7,M:SS:DD,499.73,36529.155,36745.5655,,,
1968,Swimming,100m Backstroke Women,WOMEN,WOMEN,Jane Swagerty,USA,United States of America,Bronze,1:08.1,M:S:DD,68.1,76584.401,755463,,,
1964,Swimming,100m Backstroke Women,WOMEN,WOMEN,Virginia Duenkel,USA,United States of America,Bronze,1:08.0,M:S:DD,68,4867.3,57613,,,
1960,Swimming,100m Backstroke Women,WOMEN,WOMEN,Satoko Tanaka,JPN,Japan,Bronze,1:11.4,M:S:DD,71.4,11486,95180,,,
2012,Athletics,400m Hurdles Men,MEN,MEN,Felix SANCHEZ,DOM,Dominican Republic,Gold,47.63,#:DD,47.63,9456.632,34475.0064,,,
2012,Athletics,400m Hurdles Men,MEN,MEN,Michael TINSLEY,USA,United States of America,Silver,47.91,#:DD,47.91,303824.646,8944193.284,,,
2012,Athletics,400m Hurdles Men,MEN,MEN,Javier CULSON,PUR,Puerto Rico,Bronze,48.1,#:DD,48.1,3957.169,59590.753,,,
1956,Swimming,100m Backstroke Women,WOMEN,WOMEN,Margaret Edwards,GBR,Great Britain,Bronze,1:13.1,M:S:DD,73.1,10889.351,81654,,,
1952,Swimming,100m Backstroke Women,WOMEN,WOMEN,Jean Stewart,NZL,New Zealand,Bronze,1:15.8,M:S:DD,75.8,1426.095,2145,,,
1948,Swimming,100m Backstroke Women,WOMEN,WOMEN,Judy Davies,AUS,Australia,Bronze,1:16.7,M:S:DD,76.7,67295,190695,,,
2012,Athletics,400m Men,MEN,MEN,Kirani JAMES,GRN,Norway,Gold,43.94,#:DD,43.94,4644.457,125813.244,,,
2012,Athletics,400m Men,MEN,MEN,Luguelin SANTOS,DOM,Dominican Republic,Silver,44.46,#:DD,44.46,9456.632,34475.0064,,,
2012,Athletics,400m Men,MEN,MEN,Lalonde GORDON,TTO,Trinidad and Tobago,Bronze,44.52,#:DD,44.52,1047.366,19696.6694,,,
1936,Swimming,100m Backstroke Women,WOMEN,WOMEN,Alice Bridges,USA,United States of America,Bronze,1:19.4,M:S:DD,79.4,6783,37414,,,
1932,Swimming,100m Backstroke Women,WOMEN,WOMEN,Elizabeth Davies,GBR,Great Britain,Bronze,1:22.5,M:S:DD,82.5,41431,122140.3909,,,
1928,Swimming,100m Backstroke Women,WOMEN,WOMEN,Joyce Cooper,GBR,Great Britain,Bronze,1:22.8,M:S:DD,82.8,8520,20575.61748,,,
2012,Athletics,4x100m Relay Men,MEN,MEN,"Usain BOLT, Michael FRATER, Nesta CARTER, Yohan BLAKE",JAM,Jamaica,Gold,36.84,#:DD,36.84,2801.544,10497.6055,,,
2012,Athletics,4x100m Relay Men,MEN,MEN,"DISQUALIFIED, USA",,Norway,Silver,,#:DD,,4644.457,125813.244,,,
2012,Athletics,4x100m Relay Men,MEN,MEN,"Marc BURNS, Keston BLEDMAN, Emmanuel CALLENDER, Richard THOMPSON",TTO,Trinidad and Tobago,Bronze,38.12,#:DD,38.12,1047.366,19696.6694,,,
1924,Swimming,100m Backstroke Women,WOMEN,WOMEN,Aileen Riggin,USA,United States of America,Bronze,1:28.2,M:S:DD,88.2,62697,200557,,,
2012,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Satomi SUZUKI,JPN,Japan,Bronze,01:06.5,M:S:DD,66.46,60943.912,1358615.226,,,
2008,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Mirna Jukic,AUT,Austria,Bronze,1:07.34,M:S:DD,67.34,2801.544,10191.85,,,
2012,Athletics,4x400m Relay Men,MEN,MEN,"Ramon MILLER, Chris BROWN, Michael MATHIEU, Demetrius PINDER",BAH,Bahamas,Gold,02:56.7,M:SS:DD,176.72,78,21,,,
2012,Athletics,4x400m Relay Men,MEN,MEN,"Angelo TAYLOR, Tony MCQUAY, Bryshon NELLUM, Joshua MANCE",USA,United States of America,Silver,02:57.1,M:SS:DD,177.05,303824.646,8944193.284,,,
2012,Athletics,4x400m Relay Men,MEN,MEN,"Lalonde GORDON, Deon LENDORE, Jarrin SOLOMON, Ade ALLEYNE-FORTE",TTO,Trinidad and Tobago,Bronze,02:59.4,M:SS:DD,179.40,1047.366,19696.6694,,,
2004,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Leisel Jones,AUS,Australia,Bronze,1:07.16,M:S:DD,67.16,125744.458,165677,,,
2000,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Penny Heyns,RSA,South Africa,Bronze,1:07.55,M:S:DD,67.55,19164.62,412984.5827,,,
1996,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Samantha Riley,AUS,Australia,Bronze,1:09.18,M:S:DD,69.18,269667.391,6803768.743,,,
2012,Athletics,5000m Men,MEN,MEN,Mo FARAH,GBR,Great Britain,Gold,13:41.7,M:SS:DD,821.66,60943.912,1358615.226,,,
2012,Athletics,5000m Men,MEN,MEN,Dejen GEBREMESKEL,ETH,Ethiopia,Silver,13:42.0,M:SS:DD,821.98,83282.565,50477.4961,,,
2012,Athletics,5000m Men,MEN,MEN,Thomas Pkemei LONGOSIWA,KEN,Kenya,Bronze,13:42.4,M:SS:DD,822.36,36529.155,36745.5655,,,
1992,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Samantha Riley,AUS,Australia,Bronze,1:09.25,M:S:DD,69.25,256894.189,5985151.501,,,
1988,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Silke H?rner,GDR,Germany,Bronze,1:08.83,M:S:DD,68.83,78030.572,1260983,,,
1984,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Catherine Poirot,FRA,France,Bronze,1:10.70,M:S:DD,70.7,77855.422,1150951,,,
2012,Athletics,50km Walk Men,MEN,MEN,Sergey KIRDYAPKIN,RUS,Russia,Gold,3:35:59,H:MM:SS,12959.00,287447.373,1646762.087,,,
2012,Athletics,50km Walk Men,MEN,MEN,Jared TALLENT,AUS,Australia,Silver,3:36:53,H:MM:SS,13013.00,20600.856,487488.1085,,,
2012,Athletics,50km Walk Men,MEN,MEN,Tianfeng SI,CHN,China,Bronze,3:37:16,H:MM:SS,13036.00,1326856.173,6564831.165,,,
2012,Athletics,800m Men,MEN,MEN,David Lekuta RUDISHA,KEN,Kenya,Gold,01:40.9,M:SS:DD,100.91,36529.155,36745.5655,,,
2012,Athletics,800m Men,MEN,MEN,Nijel AMOS,BOT,Botswana,Silver,01:41.7,M:SS:DD,101.73,1638.393,9248.5022,,,
2012,Athletics,800m Men,MEN,MEN,Timothy KITUM,KEN,Kenya,Bronze,01:42.5,M:SS:DD,102.53,36529.155,36745.5655,,,
1980,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Susanne Nielsson,DEN,Denmark,Bronze,1:11.16,M:S:DD,71.16,10711.122,67549.20943,,,
1976,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Marina Koshevaya,URS,Russia,Bronze,1:13.30,M:S:DD,73.3,8755.037,52371.35704,,,
1972,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Beverley Whitfield,AUS,Australia,Bronze,1:15.73,M:S:DD,75.73,78717.088,903739,,,
2012,Athletics,Marathon Men,MEN,MEN,Stephen KIPROTICH,UGA,Uganda,Gold,2:08:01,H:MM:SS,7681.00,30214.531,24868.3729,,,
2012,Athletics,Marathon Men,MEN,MEN,Abel KIRUI,KEN,Kenya,Silver,2:08:27,H:MM:SS,7707.00,36529.155,36745.5655,,,
2012,Athletics,Marathon Men,MEN,MEN,Wilson Kipsang KIPROTICH,KEN,Kenya,Bronze,2:09:37,H:MM:SS,7777.00,36529.155,36745.5655,,,
1968,Swimming,100m Breaststroke Women,WOMEN,WOMEN,Sharon Wichman,USA,United States of America,Bronze,1:16.1,M:S:DD,76.1,49934,523967,,,
2012,Swimming,100m Butterfly Women,WOMEN,WOMEN,Alicia COUTTS,AUS,Australia,Bronze,56.94,#:DD,56.94,303824.646,8944193.284,,,
2008,Swimming,100m Butterfly Women,WOMEN,WOMEN,Jessicah Schipper,AUS,Australia,Bronze,57.25,M:S:DD,57.25,2801.544,10191.85,,,
2012,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,Sebastian BRENDEL,GER,Germany,Gold,03:47.2,M:S:DD,227.18,82369.548,1673488.575,,,
2012,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,David CAL,ESP,Spain,Silver,03:48.1,M:S:DD,228.05,40491.051,726224.8061,,,
2012,Canoeing,C1 1000m Canadian Singles Men,MEN,MEN,Mark OLDERSHAW,CAN,Canada,Bronze,03:48.5,M:S:DD,228.50,33679.263,793938.3417,,,
2012,Canoeing,C1 200m Canadian Singles Men,MEN,MEN,Yuriy CHEBAN,UKR,Ukraine,Gold,42.291,#:DD,42.29,46170.273,179385.946,,,
2012,Canoeing,C1 200m Canadian Singles Men,MEN,MEN,Jevgenij SHUKLIN,LTU,Lithuania,Silver,42.792,#:DD,42.79,3565.205,30671.25873,,,
2012,Canoeing,C1 200m Canadian Singles Men,MEN,MEN,Ivan SHTYL,RUS,Russia,Bronze,42.853,#:DD,42.85,287447.373,1646762.087,,,
2012,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Peter KRETSCHMER, Kurt KUSCHELA",GER,Germany,Gold,03:33.8,M:S:DD,213.80,82369.548,1673488.575,,,
2012,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Aliaksandr BAHDANOVICH, Andrei BAHDANOVICH",BLR,Belarus,Silver,03:35.2,M:S:DD,215.21,10287.955,80893.2859,,,
2012,Canoeing,C2 1000m Canadian Pairs Men,MEN,MEN,"Alexey KOROVASHKOV, Ilya PERVUKHIN",RUS,Russia,Bronze,03:36.4,M:S:DD,216.41,287447.373,1646762.087,,,
2012,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,Eirik Veraas LARSEN,NOR,Norway,Gold,03:26.5,M:S:DD,206.46,4644.457,125813.244,,,
2012,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,Adam VAN KOEVERDEN,CAN,Canada,Silver,03:27.2,M:S:DD,207.17,33679.263,793938.3417,,,
2012,Canoeing,K1 1000m Kayak Singles Men,MEN,MEN,Max HOFF,GER,Germany,Bronze,03:27.8,M:S:DD,207.76,82369.548,1673488.575,,,
2012,Canoeing,K1 200m Kayak Singles Men,MEN,MEN,Ed MCKEEVER,GBR,Great Britain,Gold,36.246,#:DD,36.25,60943.912,1358615.226,,,
2012,Canoeing,K1 200m Kayak Singles Men,MEN,MEN,Saul CRAVIOTTO RIVERO,ESP,Spain,Silver,36.54,#:DD,36.54,40491.051,726224.8061,,,
2012,Canoeing,K1 200m Kayak Singles Men,MEN,MEN,Mark DE JONGE,CAN,Canada,Bronze,36.657,#:DD,36.66,33679.263,793938.3417,,,
2004,Swimming,100m Butterfly Women,WOMEN,WOMEN,Inge de Bruijn,NED,Netherlands,Bronze,57.99,M:S:DD,57.99,60270.708,1280625.154,,,
2000,Swimming,100m Butterfly Women,WOMEN,WOMEN,Dara Torres,USA,United States of America,Bronze,58.2,M:S:DD,58.2,82187.909,1560097.88,,,
1996,Swimming,100m Butterfly Women,WOMEN,WOMEN,Angel Martino,USA,United States of America,Bronze,59.23,M:S:DD,59.23,18348.078,354521.1781,,,
1992,Swimming,100m Butterfly Women,WOMEN,WOMEN,Catherine Plewinski,FRA,France,Bronze,59.01,M:S:DD,59.01,80597.764,1361341.41,,,
1988,Swimming,100m Butterfly Women,WOMEN,WOMEN,Hong Qian,CHN,China,Bronze,59.52,M:S:DD,59.52,245021.414,5512845,,,
1984,Swimming,100m Butterfly Women,WOMEN,WOMEN,Karin Seick,FRG,Germany,Bronze,1:01.36,M:S:DD,61.36,275379.897,1847190,,,
2012,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Roland KOKENY, Rudolf DOMBI",HUN,Hungary,Gold,03:09.6,M:S:DD,189.65,9930.915,84794.5495,,,
2012,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Emanuel SILVA, Fernando PIMENT",POR,Portugal,Silver,03:09.7,M:S:DD,189.70,10676.91,153505.5396,,,
2012,Canoeing,K2 1000m Kayak Pairs Men,MEN,MEN,"Andreas IHLE, Martin HOLLSTEIN",GER,Germany,Bronze,03:10.1,M:S:DD,190.12,82369.548,1673488.575,,,
2012,Canoeing,K2 200m Kayak Pairs Men,MEN,MEN,"Yury POSTRIGAY, Alexander DYACHENKO",RUS,Russia,Gold,33.507,#:DD,33.51,287447.373,1646762.087,,,
2012,Canoeing,K2 200m Kayak Pairs Men,MEN,MEN,"Vadzim MAKHNEU, Raman PIATRUSHENKA",BLR,Belarus,Silver,34.266,#:DD,34.27,10287.955,80893.2859,,,
2012,Canoeing,K2 200m Kayak Pairs Men,MEN,MEN,"Liam HEATH, Jon SCHOFIELD",GBR,Great Britain,Bronze,34.421,#:DD,34.42,60943.912,1358615.226,,,
1980,Swimming,100m Butterfly Women,WOMEN,WOMEN,Christiane Knacke,GDR,Germany,Bronze,1:01.44,M:S:DD,61.44,78297.904,1105099,,,
1976,Swimming,100m Butterfly Women,WOMEN,WOMEN,Wendy Boglioli,USA,United States of America,Bronze,1:01.17,M:S:DD,61.17,256882.729,1634589,,,
1972,Swimming,100m Butterfly Women,WOMEN,WOMEN,Andrea Gyarmati,HUN,Hungary,Bronze,1:03.73,M:S:DD,63.73,33039.545,165521.0346,,,
2012,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Jacob CLEAR, David SMITH, Tate SMITH, Murray STEWART",AUS,Australia,Gold,02:55.1,M:S:DD,175.09,20600.856,487488.1085,,,
2012,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Zoltan KAMMERER, Tamas KULIFAI, Daniel PAUMAN, David TOTH",HUN,Hungary,Silver,02:55.7,M:S:DD,175.70,9930.915,84794.5495,,,
2012,Canoeing,K4 1000m Kayak Fours Men,MEN,MEN,"Josef DOSTAL, Daniel HAVEL, Jan STERBA, Lukas TREFIL",CZE,Czech Republic,Bronze,02:55.8,M:S:DD,175.85,10220.911,107721.1099,,,
1968,Swimming,100m Butterfly Women,WOMEN,WOMEN,Susan Shields,USA,United States of America,Bronze,1:06.2,M:S:DD,66.2,4471.59,0,,,
1964,Swimming,100m Butterfly Women,WOMEN,WOMEN,Kathleen Ellis,USA,United States of America,Bronze,1:06.0,M:S:DD,66,12724.68,138627,,,
1960,Swimming,100m Butterfly Women,WOMEN,WOMEN,Janice Andrew,AUS,Australia,Bronze,1:12.2,M:S:DD,72.2,11486,95180,,,
2012,Rowing,Coxless Fours Men,MEN,MEN,"Tom JAMES, Andrew TRIGGS HODGE, Pete REED, Alex GREGORY",GBR,Great Britain,Gold,06:04.0,M:S:DD,363.97,60943.912,1358615.226,,,
2012,Rowing,Coxless Fours Men,MEN,MEN,"Drew GINN, James CHAPMAN, Joshua DUNKLEY-SMITH, William LOCKWOOD",AUS,Australia,Silver,06:05.2,M:S:DD,365.19,20600.856,487488.1085,,,
2012,Rowing,Coxless Fours Men,MEN,MEN,"Scott GAULT, Charles COLE, Glenn OCHAL, Henrik RUMMEL",USA,United States of America,Bronze,06:07.2,M:S:DD,367.20,303824.646,8944193.284,,,
2012,Rowing,Coxless Pairs Men,MEN,MEN,"Eric MURRAY, Hamish BOND",NZL,New Zealand,Gold,06:16.6,M:S:DD,376.65,4154.311,73626.02405,,,
2012,Rowing,Coxless Pairs Men,MEN,MEN,"Germain CHARDIN, Dorian MORTELETTE",FRA,France,Silver,06:21.1,M:S:DD,381.11,61279.972,1395721.096,,,
2012,Rowing,Coxless Pairs Men,MEN,MEN,"George NASH, William SATCH",GBR,Great Britain,Bronze,06:21.8,M:S:DD,381.77,60943.912,1358615.226,,,
1956,Swimming,100m Butterfly Women,WOMEN,WOMEN,Mary Sears,USA,United States of America,Bronze,1:14.4,M:S:DD,74.4,8923.845,57313,,,
2012,Swimming,100m Freestyle Women,WOMEN,WOMEN,Yi TANG,CHN,China,Bronze,53.44,#:DD,53.44,7262.675,50542.35925,,,
2008,Swimming,100m Freestyle Women,WOMEN,WOMEN,Natalie Coughlin,USA,United States of America,Bronze,53.39,M:S:DD,53.39,20600.856,473289.4257,,,
2012,Rowing,Double Sculls Men,MEN,MEN,"Nathan COHEN, Joseph SULLIVAN",NZL,New Zealand,Gold,06:31.7,M:S:DD,391.67,4154.311,73626.02405,,,
2012,Rowing,Double Sculls Men,MEN,MEN,"Alessio SARTORI, Romano BATTISTI",ITA,Italy,Silver,06:32.8,M:S:DD,392.80,58145.321,1178332.159,,,
2012,Rowing,Double Sculls Men,MEN,MEN,"Iztok COP, Luka SPIK",SLO,Slovenia,Bronze,06:34.3,M:S:DD,394.35,2007.711,29866.73666,,,
2004,Swimming,100m Freestyle Women,WOMEN,WOMEN,Natalie Coughlin,USA,United States of America,Bronze,54.4,M:S:DD,54.4,287360.52,1552231.206,,,
2000,Swimming,100m Freestyle Women,WOMEN,WOMEN,Dara Torres,USA,United States of America,Bronze,54.43,M:S:DD,54.43,22451.921,67480.13816,,,
1996,Swimming,100m Freestyle Women,WOMEN,WOMEN,Angel Martino,USA,United States of America,Bronze,54.93,M:S:DD,54.93,15527.809,294839.7295,,,
2012,Rowing,Eights Men,MEN,MEN,"Adamski, Kuffner, Johannesen, Reinelt, Schmidt, Mueller, Mennigen, Wilke, Sauer",GER,Germany,Gold,05:48.8,M:S:DD,348.75,82369.548,1673488.575,,,
2012,Rowing,Eights Men,MEN,MEN,"Bergen, Csima, Gibson, Mccabe, Howard, Byrnes, Brown, Crothers, Price",CAN,Canada,Silver,05:50.0,M:S:DD,349.98,33679.263,793938.3417,,,
2012,Rowing,Eights Men,MEN,MEN,"Partridge, Foad, Ransley, Egington, Sbihi, Searle, Langridge, Louloudis, Hill",GBR,Great Britain,Bronze,05:51.2,M:S:DD,351.18,60943.912,1358615.226,,,
1992,Swimming,100m Freestyle Women,WOMEN,WOMEN,Franziska van Almsick,GER,Germany,Bronze,54.94,M:S:DD,54.94,256894.189,5985151.501,,,
1988,Swimming,100m Freestyle Women,WOMEN,WOMEN,Catherine Plewinski,FRA,France,Bronze,55.49,M:S:DD,55.49,16520.206,274737,,,
1984,Swimming,100m Freestyle Women,WOMEN,WOMEN,Annemarie Verstappen,NED,Netherlands,Bronze,56.08,M:S:DD,56.08,12923.005,13212.36816,,,
2012,Rowing,Lightweight Coxless Fours Men,MEN,MEN,"James THOMPSON, John SMITH, Sizwe NDLOVU, Matthew BRITTAIN",RSA,South Africa,Gold,06:02.8,M:S:DD,362.84,43786.115,219525.4158,,,
2012,Rowing,Lightweight Coxless Fours Men,MEN,MEN,"Richard CHAMBERS, Robert WILLIAMS, Chris BARTLEY, Peter CHAMBERS",GBR,Great Britain,Silver,06:03.1,M:S:DD,363.09,60943.912,1358615.226,,,
2012,Rowing,Lightweight Coxless Fours Men,MEN,MEN,"Eskild EBBESEN, Kasper WINTHER, Jacob BARSOE, Morten JORGENSEN",DEN,Denmark,Bronze,06:03.2,M:S:DD,363.16,5484.723,132380.0577,,,
2012,Rowing,Lightweight Double Sculls Men,MEN,MEN,"Rasmus QUIST, Mads Reinholdt RASMUSSEN",DEN,Denmark,Gold,06:37.2,M:S:DD,397.17,5484.723,132380.0577,,,
2012,Rowing,Lightweight Double Sculls Men,MEN,MEN,"Mark HUNTER, Zac PURCHASE",GBR,Great Britain,Silver,06:37.8,M:S:DD,397.78,60943.912,1358615.226,,,
2012,Rowing,Lightweight Double Sculls Men,MEN,MEN,"Peter TAYLOR, Storm URU",NZL,New Zealand,Bronze,06:40.9,M:S:DD,400.86,4154.311,73626.02405,,,
1980,Swimming,100m Freestyle Women,WOMEN,WOMEN,Ines Diers,GDR,Germany,Bronze,55.65,M:S:DD,55.65,78297.904,1105099,,,
1976,Swimming,100m Freestyle Women,WOMEN,WOMEN,Enith Brigitha,NED,Netherlands,Bronze,56.65,M:S:DD,56.65,930685,793568,,,
1972,Swimming,100m Freestyle Women,WOMEN,WOMEN,Shane Gould,AUS,Australia,Bronze,59.06,M:S:DD,59.06,209896,3346554,,,
2012,Rowing,Quadruple Sculls Men,MEN,MEN,"Tim GROHMANN, Lauritz SCHOOF, Karl SCHULZE, Phillipp WENDE",GER,Germany,Gold,05:42.5,M:S:DD,342.48,82369.548,1673488.575,,,
2012,Rowing,Quadruple Sculls Men,MEN,MEN,"Martin SINKOVIC, Valent SINKOVIC, Damir MARTIN, David SAIN",CRO,Croatia,Silver,05:44.8,M:S:DD,344.78,4491.543,34513.36066,,,
2012,Rowing,Quadruple Sculls Men,MEN,MEN,"Karsten FORSTERLING, James MCRAE, Daniel NOONAN, Christopher MORGAN",AUS,Australia,Bronze,05:45.2,M:S:DD,345.22,20600.856,487488.1085,,,
1968,Swimming,100m Freestyle Women,WOMEN,WOMEN,Linda Gustavson,USA,United States of America,Bronze,1:00.3,M:S:DD,60.3,1638.476,5730,,,
1964,Swimming,100m Freestyle Women,WOMEN,WOMEN,Kathleen Ellis,USA,United States of America,Bronze,1:00.8,M:S:DD,60.8,200706,2983081,,,
1960,Swimming,100m Freestyle Women,WOMEN,WOMEN,Natalie Steward,GBR,Great Britain,Bronze,1:03.1,M:S:DD,63.1,72480.869,558482,,,
2012,Rowing,Single Sculls Men,MEN,MEN,Mahe DRYSDALE,NZL,New Zealand,Gold,06:57.8,M:S:DD,417.82,4154.311,73626.02405,,,
2012,Rowing,Single Sculls Men,MEN,MEN,Ondrej SYNEK,CZE,Czech Republic,Silver,06:59.4,M:S:DD,419.37,10220.911,107721.1099,,,
